Grade;Zx;Zy;Strain;Stress;Area
B30;0.2;0.2;0.0025443977761293486;0;0
B30;-0.225;-0.17500000000000002;-0.0030574089057393179;-17;0.0025
B30;-0.175;-0.17500000000000002;-0.0026767850914470432;-17;0.0025
B30;-0.125;-0.17500000000000002;-0.0022961612771547684;-17;0.0025
B30;-0.074999999999999983;-0.17500000000000002;-0.0019155374628624937;-16.659375565615573;0.0025
B30;-0.024999999999999994;-0.17500000000000002;-0.0015349136485702192;-15.124378206425682;0.0025
B30;0.024999999999999994;-0.17500000000000002;-0.0011542898342779447;-13.589380847235795;0.0025
B30;0.075000000000000039;-0.17500000000000002;-0.0007736660199856697;-12.054383488045904;0.0025
B30;0.12500000000000003;-0.17500000000000002;-0.00039304220569339517;-10.519386128856016;0.0025
B30;0.17500000000000002;-0.17500000000000002;-1.2418391401120867E-05;-0.40359772053642817;0.0025
B30;0.225;-0.17500000000000002;0.00036820542289115366;0;0.0025
B30;-0.225;-0.125;-0.00274187500435474;-17;0.0025
B30;-0.175;-0.125;-0.0023612511900624657;-17;0.0025
B30;-0.125;-0.125;-0.0019806273757701906;-16.92187318313588;0.0025
B30;-0.074999999999999983;-0.125;-0.001600003561477916;-15.38687582394599;0.0025
B30;-0.024999999999999994;-0.125;-0.0012193797471856415;-13.851878464756103;0.0025
B30;0.024999999999999994;-0.125;-0.000838755932893367;-12.316881105566216;0.0025
B30;0.075000000000000039;-0.125;-0.00045813211860109209;-10.781883746376325;0.0025
B30;0.12500000000000003;-0.125;-7.7508304308817515E-05;-2.5190198900365695;0.0025
B30;0.17500000000000002;-0.125;0.00030311550998345679;0;0.0025
B30;0.225;-0.125;0.00068373932427573132;0;0.0025
B30;-0.225;-0.075000000000000011;-0.0024263411029701626;-17;0.0025
B30;-0.175;-0.075000000000000011;-0.0020457172886778879;-17;0.0025
B30;-0.125;-0.075000000000000011;-0.0016650934743856131;-15.649373441466299;0.0025
B30;-0.074999999999999983;-0.075000000000000011;-0.0012844696600933384;-14.114376082276412;0.0025
B30;-0.024999999999999994;-0.075000000000000011;-0.00090384584580106408;-12.579378723086524;0.0025
B30;0.024999999999999994;-0.075000000000000011;-0.00052322203150878955;-11.044381363896637;0.0025
B30;0.075000000000000039;-0.075000000000000011;-0.00014259821721651454;-4.6344420595367231;0.0025
B30;0.12500000000000003;-0.075000000000000011;0.00023802559707576004;0;0.0025
B30;0.17500000000000002;-0.075000000000000011;0.00061864941136803434;0;0.0025
B30;0.225;-0.075000000000000011;0.00099927322566030876;0;0.0025
B30;-0.225;-0.024999999999999994;-0.0021108072015855847;-17;0.0025
B30;-0.175;-0.024999999999999994;-0.0017301833872933102;-15.911871058986611;0.0025
B30;-0.125;-0.024999999999999994;-0.0013495595730010355;-14.37687369979672;0.0025
B30;-0.074999999999999983;-0.024999999999999994;-0.00096893575870876073;-12.841876340606833;0.0025
B30;-0.024999999999999994;-0.024999999999999994;-0.00058831194441648631;-11.306878981416945;0.0025
B30;0.024999999999999994;-0.024999999999999994;-0.00020768813012421179;-6.7498642290368833;0.0025
B30;0.075000000000000039;-0.024999999999999994;0.00017293568416806317;0;0.0025
B30;0.12500000000000003;-0.024999999999999994;0.0005535594984603378;0;0.0025
B30;0.17500000000000002;-0.024999999999999994;0.00093418331275261211;0;0.0025
B30;0.225;-0.024999999999999994;0.0013148071270448866;0;0.0025
B30;-0.225;0.024999999999999994;-0.0017952733002010073;-16.174368676506923;0.0025
B30;-0.175;0.024999999999999994;-0.0014146494859087328;-14.639371317317032;0.0025
B30;-0.125;0.024999999999999994;-0.001034025671616458;-13.104373958127141;0.0025
B30;-0.074999999999999983;0.024999999999999994;-0.00065340185732418329;-11.569376598937254;0.0025
B30;-0.024999999999999994;0.024999999999999994;-0.00027277804303190876;-8.8652863985370356;0.0025
B30;0.024999999999999994;0.024999999999999994;0.00010784577126036576;0;0.0025
B30;0.075000000000000039;0.024999999999999994;0.00048846958555264072;0;0.0025
